parent_id,kode_bps,nama_bps,kode_dagri,nama_dagri,kode_pos
33,3318,"KAB. PATI",33.18,"KABUPATEN PATI","59100"
33,3319,"KAB. KUDUS",33.19,"KABUPATEN KUDUS","59300"
33,3320,"KAB. JEPARA",33.20,"KABUPATEN JEPARA","59400"
33,3321,"KAB. DEMAK",33.21,"KABUPATEN DEMAK","59500"
33,3322,"KAB. SEMARANG",33.22,"KABUPATEN SEMARANG","50500"
33,3323,"KAB. TEMANGGUNG",33.23,"KABUPATEN TEMANGGUNG","56200"
33,3324,"KAB. KENDAL",33.24,"KABUPATEN KENDAL","51300"
33,3325,"KAB. BATANG",33.25,"KABUPATEN BATANG","51200"
33,3326,"KAB. PEKALONGAN",33.26,"KABUPATEN PEKALONGAN","51100"
33,3327,"KAB. PEMALANG",33.27,"KABUPATEN PEMALANG","52300"
33,3328,"KAB. TEGAL",33.28,"KABUPATEN TEGAL","52400"
33,3329,"KAB. BREBES",33.29,"KABUPATEN BREBES","52200"
33,3371,"KOTA MAGELANG",33.71,"KOTA MAGELANG","56100"
33,3372,"KOTA SURAKARTA",33.72,"KOTA SURAKARTA","57100"
33,3373,"KOTA SALATIGA",33.73,"KOTA SALATIGA","50700"
33,3374,"KOTA SEMARANG",33.74,"KOTA SEMARANG","50100;50200"
33,3375,"KOTA PEKALONGAN",33.75,"KOTA PEKALONGAN","51100"
33,3376,"KOTA TEGAL",33.76,"KOTA TEGAL","52100"
34,3401,"KAB. KULON PROGO",34.01,"KABUPATEN KULON PROGO","55600"
34,3402,"KAB. BANTUL",34.02,"KABUPATEN BANTUL","55700"
34,3403,"KAB. GUNUNGKIDUL",34.03,"KABUPATEN GUNUNGKIDUL","55800"
34,3404,"KAB. SLEMAN",34.04,"KABUPATEN SLEMAN","55500"
34,3471,"KOTA YOGYAKARTA",34.71,"KOTA YOGYAKARTA","55100;55200"
35,3501,"KAB. PACITAN",35.01,"KABUPATEN PACITAN","63500"
35,3502,"KAB. PONOROGO",35.02,"KABUPATEN PONOROGO","63400"
35,3503,"KAB. TRENGGALEK",35.03,"KABUPATEN TRENGGALEK","66300"
35,3504,"KAB. TULUNGAGUNG",35.04,"KABUPATEN TULUNGAGUNG","66200"
35,3505,"KAB. BLITAR",35.05,"KABUPATEN BLITAR","66100"
35,3506,"KAB. KEDIRI",35.06,"KABUPATEN KEDIRI","64100"
35,3507,"KAB. MALANG",35.07,"KABUPATEN MALANG","65100"
35,3508,"KAB. LUMAJANG",35.08,"KABUPATEN LUMAJANG","67300"
35,3509,"KAB. JEMBER",35.09,"KABUPATEN JEMBER","68100"
35,3510,"KAB. BANYUWANGI",35.10,"KABUPATEN BANYUWANGI","68400"
35,3511,"KAB. BONDOWOSO",35.11,"KABUPATEN BONDOWOSO","68200"
35,3512,"KAB. SITUBONDO",35.12,"KABUPATEN SITUBONDO","68300"
35,3513,"KAB. PROBOLINGGO",35.13,"KABUPATEN PROBOLINGGO","67200"
35,3514,"KAB. PASURUAN",35.14,"KABUPATEN PASURUAN","67100"
35,3515,"KAB. SIDOARJO",35.15,"KABUPATEN SIDOARJO","61200"
35,3516,"KAB. MOJOKERTO",35.16,"KABUPATEN MOJOKERTO","61300"
35,3517,"KAB. JOMBANG",35.17,"KABUPATEN JOMBANG","61400"
35,3518,"KAB. NGANJUK",35.18,"KABUPATEN NGANJUK","64400"
35,3519,"KAB. MADIUN",35.19,"KABUPATEN MADIUN","63100"
35,3520,"KAB. MAGETAN",35.20,"KABUPATEN MAGETAN","63300"
35,3521,"KAB. NGAWI",35.21,"KABUPATEN NGAWI","63200"
35,3522,"KAB. BOJONEGORO",35.22,"KABUPATEN BOJONEGORO","62100"
35,3523,"KAB. TUBAN",35.23,"KABUPATEN TUBAN","62300"
35,3524,"KAB. LAMONGAN",35.24,"KABUPATEN LAMONGAN","62200"
35,3525,"KAB. GRESIK",35.25,"KABUPATEN GRESIK","61100"
35,3526,"KAB. BANGKALAN",35.26,"KABUPATEN BANGKALAN","69100"
35,3527,"KAB. SAMPANG",35.27,"KABUPATEN SAMPANG","69200"
35,3528,"KAB. PAMEKASAN",35.28,"KABUPATEN PAMEKASAN","69300"
35,3529,"KAB. SUMENEP",35.29,"KABUPATEN SUMENEP","69400"
35,3571,"KOTA KEDIRI",35.71,"KOTA KEDIRI","64100"
35,3572,"KOTA BLITAR",35.72,"KOTA BLITAR","66100"
35,3573,"KOTA MALANG",35.73,"KOTA MALANG","65100"
35,3574,"KOTA PROBOLINGGO",35.74,"KOTA PROBOLINGGO","67200"
35,3575,"KOTA PASURUAN",35.75,"KOTA PASURUAN","67100"
35,3576,"KOTA MOJOKERTO",35.76,"KOTA MOJOKERTO","61300"
35,3577,"KOTA MADIUN",35.77,"KOTA MADIUN","63100"
35,3578,"KOTA SURABAYA",35.78,"KOTA SURABAYA","60100;60200"
35,3579,"KOTA BATU",35.79,"KOTA BATU","65300"
36,3601,"KAB. PANDEGLANG",36.01,"KABUPATEN PANDEGLANG","42200"
36,3602,"KAB. LEBAK",36.02,"KABUPATEN LEBAK","42300"
36,3603,"KAB. TANGERANG",36.03,"KABUPATEN TANGERANG","15200;15500;15600;15700;15800;15900"
36,3604,"KAB. SERANG",36.04,"KABUPATEN SERANG","42100"
36,3671,"KOTA TANGERANG",36.71,"KOTA TANGERANG","15100"
36,3672,"KOTA CILEGON",36.72,"KOTA CILEGON","42400"
36,3673,"KOTA SERANG",36.73,"KOTA SERANG","42100"
36,3674,"KOTA TANGERANG SELATAN",36.74,"KOTA TANGERANG SELATAN","15300;15400"
51,5101,"KAB. JEMBRANA",51.01,"KABUPATEN JEMBRANA","82200"
51,5102,"KAB. TABANAN",51.02,"KABUPATEN TABANAN","82100"
51,5103,"KAB. BADUNG",51.03,"KABUPATEN BADUNG","80300"
